!CSV A.01.01
!Keysight Technologies,N5222B,MY57181453,A.13.95.07
!Date: Saturday, August 12, 2023 09:17:30
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB)
3000000000,-5.5685811
3009000000,-5.8774495
3018000000,-6.4237013
3027000000,-6.5809422
3036000000,-6.7522535
3045000000,-7.6679873
3054000000,-6.9785929
3063000000,-6.0981622
3072000000,-9.2932177
3081000000,-7.5824413
3090000000,-6.7989359
3099000000,-13.024995
3108000000,-6.7904711
3117000000,-7.0221653
3126000000,-9.6405048
3135000000,-6.3027468
3144000000,-6.8056479
3153000000,-9.4253845
3162000000,-6.8770108
3171000000,-7.691473
3180000000,-12.631723
3189000000,-9.6436262
3198000000,-11.384461
3207000000,-13.926961
3216000000,-9.8624611
3225000000,-10.212527
3234000000,-9.2862692
3243000000,-7.7622681
3252000000,-8.5176229
3261000000,-8.1842566
3270000000,-7.1110916
3279000000,-6.7518601
3288000000,-7.9572935
3297000000,-7.0963879
3306000000,-7.7992158
3315000000,-9.4760189
3324000000,-7.2504125
3333000000,-8.8606834
3342000000,-9.8814754
3351000000,-8.7694016
3360000000,-7.8318434
3369000000,-8.9253664
3378000000,-8.3391666
3387000000,-7.3331847
3396000000,-10.031898
3405000000,-11.296416
3414000000,-10.094694
3423000000,-12.284644
3432000000,-13.928687
3441000000,-13.665852
3450000000,-17.280329
3459000000,-16.660114
3468000000,-15.156661
3477000000,-18.001995
3486000000,-15.281378
3495000000,-13.478676
3504000000,-18.135227
3513000000,-15.134037
3522000000,-18.944532
3531000000,-19.586626
3540000000,-16.254223
3549000000,-18.925413
3558000000,-16.393755
3567000000,-15.703005
3576000000,-15.799198
3585000000,-16.603296
3594000000,-16.37044
3603000000,-12.906596
3612000000,-13.788542
3621000000,-10.960634
3630000000,-10.71763
3639000000,-12.196312
3648000000,-9.8544083
3657000000,-10.672424
3666000000,-11.279292
3675000000,-8.6523418
3684000000,-9.5580635
3693000000,-12.069271
3702000000,-10.031145
3711000000,-10.365403
3720000000,-9.6435823
3729000000,-8.0686216
3738000000,-8.3050261
3747000000,-8.0177202
3756000000,-7.5738587
3765000000,-9.4941416
3774000000,-9.2716599
3783000000,-8.7792349
3792000000,-8.8028526
3801000000,-9.5104885
3810000000,-8.4273787
3819000000,-10.187863
3828000000,-9.873229
3837000000,-8.3459082
3846000000,-9.4341888
3855000000,-11.377116
3864000000,-10.44788
3873000000,-12.421388
3882000000,-14.249011
3891000000,-11.842696
3900000000,-13.272004
3909000000,-16.039679
3918000000,-13.857127
3927000000,-16.992798
3936000000,-19.288403
3945000000,-14.975777
3954000000,-17.981905
3963000000,-17.80603
3972000000,-13.848329
3981000000,-16.255093
3990000000,-15.365397
3999000000,-11.897865
4008000000,-13.398759
4017000000,-16.270193
4026000000,-12.563837
4035000000,-16.921692
4044000000,-13.985315
4053000000,-11.872991
