!CSV A.01.01
!Keysight Technologies,N5222B,MY57181453,A.13.95.07
!Date: Monday, August 14, 2023 04:06:50
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB)
3000000000,-9.2969036
3009000000,-9.4273243
3018000000,-8.1490717
3027000000,-7.5111403
3036000000,-7.3838902
3045000000,-8.2459507
3054000000,-7.407836
3063000000,-8.2065182
3072000000,-14.134893
3081000000,-7.6659722
3090000000,-9.1425772
3099000000,-10.016234
3108000000,-6.3757491
3117000000,-9.2730293
3126000000,-10.058142
3135000000,-7.1921706
3144000000,-9.8470926
3153000000,-11.002901
3162000000,-8.6699247
3171000000,-10.674353
3180000000,-11.802221
3189000000,-8.4364958
3198000000,-9.7843771
3207000000,-10.08618
3216000000,-7.1585832
3225000000,-9.0205507
3234000000,-10.054593
3243000000,-8.1921167
3252000000,-9.5794935
3261000000,-10.920428
3270000000,-11.337532
3279000000,-11.679334
3288000000,-11.841817
3297000000,-15.054846
3306000000,-12.072036
3315000000,-14.036807
3324000000,-17.416475
3333000000,-11.663857
3342000000,-13.931463
3351000000,-19.043859
3360000000,-15.085277
3369000000,-20.243584
3378000000,-22.152451
3387000000,-18.50108
3396000000,-27.00248
3405000000,-16.849346
3414000000,-16.244967
3423000000,-15.069861
3432000000,-12.832282
3441000000,-12.526555
3450000000,-12.401328
3459000000,-11.875504
3468000000,-11.646819
3477000000,-11.434062
3486000000,-11.828135
3495000000,-12.619626
3504000000,-12.238603
3513000000,-15.154458
3522000000,-13.589378
3531000000,-13.348834
3540000000,-13.59304
3549000000,-10.931937
3558000000,-11.230904
3567000000,-11.3755
3576000000,-11.120982
3585000000,-10.502594
3594000000,-10.761448
3603000000,-10.287026
3612000000,-10.252693
3621000000,-10.965056
3630000000,-9.5926723
3639000000,-8.5507441
3648000000,-9.1156807
3657000000,-8.6225433
3666000000,-8.1971159
3675000000,-10.716103
3684000000,-10.646561
3693000000,-10.23465
3702000000,-11.881356
3711000000,-10.847101
3720000000,-10.794225
3729000000,-9.8733196
3738000000,-8.9054089
3747000000,-8.5214844
3756000000,-8.0523291
3765000000,-8.0185871
3774000000,-8.2081432
3783000000,-10.066762
3792000000,-11.092523
3801000000,-10.257516
3810000000,-10.24083
3819000000,-9.062232
3828000000,-8.4881659
3837000000,-10.129636
3846000000,-10.400661
3855000000,-9.6720114
3864000000,-10.731551
3873000000,-12.72853
3882000000,-14.46161
3891000000,-17.099483
3900000000,-20.940773
3909000000,-24.897608
3918000000,-21.978777
3927000000,-20.009663
3936000000,-33.126652
3945000000,-23.467354
3954000000,-18.353807
3963000000,-18.996077
3972000000,-23.506351
3981000000,-19.252218
3990000000,-18.337622
3999000000,-17.394369
4008000000,-16.572912
4017000000,-17.37509
4026000000,-17.770611
4035000000,-18.808886
4044000000,-15.069908
4053000000,-12.850764
4062000000,-16.023581
4071000000,-16.949169
4080000000,-16.29784
4089000000,-23.901754
4098000000,-16.837967
4107000000,-15.257281
4116000000,-15.68065
4125000000,-16.645962
4134000000,-14.975707
4143000000,-14.969859
4152000000,-15.976197
4161000000,-17.003874
4170000000,-16.395021
4179000000,-18.139553
4188000000,-18.611458
4197000000,-15.589946
4206000000,-16.14735
4215000000,-24.122581
4224000000,-21.541826
4233000000,-20.927637
4242000000,-19.925858
4251000000,-20.55183
4260000000,-30.899416
4269000000,-29.932644
4278000000,-29.375938
4287000000,-26.277641
4296000000,-19.560938
4305000000,-20.040026
4314000000,-25.100166
4323000000,-21.150158
4332000000,-22.99357
4341000000,-24.189348
4350000000,-18.785526
4359000000,-18.719381
4368000000,-20.310417
4377000000,-16.894426
4386000000,-17.333744
4395000000,-16.784924
4404000000,-16.702003
4413000000,-17.318815
4422000000,-16.292904
4431000000,-16.385796
4440000000,-17.59267
4449000000,-13.930552
4458000000,-14.645627
4467000000,-16.696093
